,SYMBOL,START_DATE,END_DATE,PERCENTAGE
314,^FCHI,2020-10-29,2020-10-30,35
315,^FCHI,2020-11-30,2020-12-04,20
316,^FCHI,2020-12-07,2020-12-29,20
317,^FCHI,2020-12-31,2021-01-04,20
318,^FCHI,2021-01-05,2021-01-07,20
319,^FCHI,2021-01-22,2021-02-04,20
320,^FCHI,2021-03-24,2021-03-26,15
321,^FCHI,2022-03-04,2022-03-16,15
322,^FCHI,2022-03-07,2022-03-09,20
323,^FCHI,2022-05-06,2022-05-16,15
324,^FCHI,2022-05-19,2022-05-26,15
325,^GDAXI,1988-05-10,2022-06-07,10
326,^GDAXI,1989-10-16,1989-10-17,15
327,^GDAXI,1990-08-20,1991-05-27,15
328,^GDAXI,1990-08-22,1990-08-27,20
329,^GDAXI,1990-09-06,1990-09-10,20
330,^GDAXI,1990-09-14,1991-02-19,20
331,^GDAXI,1990-09-20,1990-10-19,25
332,^GDAXI,1990-09-25,1990-09-26,30
333,^GDAXI,1990-09-28,1990-10-01,30
334,^GDAXI,1990-10-22,1990-10-23,25
335,^GDAXI,1990-10-26,1990-11-22,25
336,^GDAXI,1990-11-07,1990-11-09,30
337,^GDAXI,1990-11-26,1990-12-06,25
338,^GDAXI,1990-12-19,1991-02-11,25
339,^GDAXI,1991-01-02,1991-01-04,30
340,^GDAXI,1991-01-07,1991-01-10,30
341,^GDAXI,1991-01-14,1991-01-17,30
342,^GDAXI,1991-01-22,1991-01-24,30
343,^GDAXI,1991-02-12,1991-02-13,25
344,^GDAXI,1991-02-20,1991-02-22,20
345,^GDAXI,1991-02-26,1991-03-06,20
346,^GDAXI,1991-03-12,1991-04-05,20
347,^GDAXI,1991-04-10,1991-04-12,20
348,^GDAXI,1991-06-27,1992-01-20,15
349,^GDAXI,1991-08-19,1991-08-21,20
350,^GDAXI,1991-10-09,1991-10-15,20
351,^GDAXI,1991-10-16,1991-10-22,20
352,^GDAXI,1991-10-24,1991-10-28,20
353,^GDAXI,1991-11-01,1991-11-05,20
354,^GDAXI,1991-11-29,1991-12-30,20
355,^GDAXI,1992-01-24,1992-01-27,15
356,^GDAXI,1992-01-29,1992-01-30,15
357,^GDAXI,1992-07-20,1993-02-15,15
358,^GDAXI,1992-08-11,1992-09-14,20
359,^GDAXI,1992-08-25,1992-08-26,25
360,^GDAXI,1992-09-21,1993-01-18,20
361,^GDAXI,1992-09-30,1992-10-01,25
362,^GDAXI,1992-10-05,1992-10-19,25
363,^GDAXI,1992-11-04,1992-11-05,25
364,^GDAXI,1992-12-17,1992-12-18,25
365,^GDAXI,1993-01-19,1993-01-21,20
366,^GDAXI,1993-01-25,1993-01-26,20
367,^GDAXI,1993-01-27,1993-01-29,20
368,^GDAXI,1993-02-16,1993-02-19,15
369,^GDAXI,1993-02-23,1993-02-26,15
370,^GDAXI,1993-03-22,1993-03-29,15
371,^GDAXI,1993-04-01,1993-04-14,15
372,^GDAXI,1993-04-21,1993-04-22,15
373,^GDAXI,1993-04-23,1993-06-09,15
374,^GDAXI,1994-10-05,1994-10-06,15
375,^GDAXI,1995-03-23,1995-04-05,15
376,^GDAXI,1995-04-19,1995-04-20,15
377,^GDAXI,1997-09-12,1997-09-16,15
378,^GDAXI,1997-10-28,1997-11-05,15
379,^GDAXI,1997-10-28,1997-10-29,20
380,^GDAXI,1997-11-06,1997-11-20,15
381,^GDAXI,1998-08-11,1998-08-12,15
382,^GDAXI,1998-08-13,1998-08-14,15
383,^GDAXI,1998-08-21,1998-08-25,15
384,^GDAXI,1998-08-26,1999-01-06,15
385,^GDAXI,1998-08-28,1998-11-27,20
386,^GDAXI,1998-09-01,1998-09-02,25
